ID,A1,dPMC,M1,vPMC
sub-0016/RIGHT,83.0%,57.3%,68.4%,84.2%
sub-0018/RIGHT,52.5%,36.6%,36.7%,29.6%
sub-0020/RIGHT,46.2%,31.0%,25.2%,33.2%
sub-0021/RIGHT,52.2%,40.2%,24.9%,40.0%
sub-0023/RIGHT,100.0%,100.0%,100.0%,100.0%
sub-0024/RIGHT,56.2%,25.8%,22.5%,35.2%
sub-0025/RIGHT,54.8%,36.2%,32.4%,47.8%
sub-0026/RIGHT,46.8%,29.4%,26.2%,38.2%
sub-0028/RIGHT,59.4%,27.3%,24.1%,33.7%
sub-0029/RIGHT,58.6%,26.2%,23.9%,27.9%
sub-0030/RIGHT,54.5%,37.0%,35.9%,48.9%
sub-0031/RIGHT,67.6%,34.1%,23.9%,46.3%
sub-0032/RIGHT,44.6%,31.0%,40.1%,33.6%
sub-0033/RIGHT,51.0%,32.6%,22.5%,36.9%
sub-0035/RIGHT,48.8%,33.3%,28.9%,30.2%
sub-0036/RIGHT,65.7%,33.2%,48.5%,36.8%
sub-0037/RIGHT,54.1%,40.0%,37.7%,39.6%
sub-0040/RIGHT,58.8%,41.0%,24.4%,35.4%
sub-0045/RIGHT,49.1%,37.6%,40.7%,36.8%
sub-0046/RIGHT,64.0%,33.8%,34.2%,38.0%
sub-0047/RIGHT,52.4%,26.0%,20.9%,29.6%
sub-0048/RIGHT,45.8%,26.5%,24.4%,34.3%
sub-0049/RIGHT,50.4%,29.4%,30.0%,33.4%
sub-0050/RIGHT,57.9%,27.0%,20.8%,33.5%
sub-0052/RIGHT,76.1%,54.2%,39.9%,59.5%
sub-0055/RIGHT,56.1%,59.2%,82.0%,32.0%
sub-0056/RIGHT,59.0%,27.4%,25.1%,28.9%
sub-0058/RIGHT,52.4%,38.6%,62.5%,29.6%
sub-0063/RIGHT,58.8%,27.1%,20.4%,39.5%
sub-0064/RIGHT,47.8%,27.9%,26.3%,44.0%
sub-0065/RIGHT,58.9%,35.7%,27.4%,34.1%
sub-0069/RIGHT,46.8%,32.7%,37.6%,37.6%
sub-0070/RIGHT,48.8%,30.9%,30.0%,28.9%
sub-0074/RIGHT,67.3%,35.5%,47.0%,28.8%
sub-0076/RIGHT,50.2%,41.8%,34.5%,38.4%
sub-0077/RIGHT,51.6%,30.5%,25.2%,33.6%
sub-0082/RIGHT,74.4%,33.1%,30.7%,31.8%
sub-0083/RIGHT,94.5%,82.8%,80.0%,56.4%
sub-0084/RIGHT,49.7%,29.2%,20.2%,29.6%
sub-0086/RIGHT,57.2%,42.6%,37.5%,39.4%
sub-0087/RIGHT,51.8%,35.0%,32.9%,37.9%
sub-0090/RIGHT,57.9%,27.0%,41.0%,38.5%
sub-0091/RIGHT,56.6%,35.2%,34.9%,52.8%
sub-0093/RIGHT,90.0%,60.6%,76.1%,67.1%
sub-0094/RIGHT,51.7%,27.4%,28.7%,32.1%
sub-0097/RIGHT,54.1%,31.7%,23.8%,27.5%
sub-0099/RIGHT,53.5%,28.6%,22.9%,33.9%
sub-0101/RIGHT,52.5%,25.8%,25.1%,29.3%
sub-0102/RIGHT,59.8%,29.4%,22.3%,27.7%
sub-0103/RIGHT,99.5%,99.8%,99.8%,99.8%
sub-0104/RIGHT,66.6%,30.0%,32.5%,36.0%
sub-0105/RIGHT,74.6%,27.3%,39.7%,38.9%
sub-0106/RIGHT,56.2%,33.4%,26.9%,35.0%
sub-0134/RIGHT,50.3%,28.5%,22.6%,33.4%
sub-0145/RIGHT,47.1%,34.3%,23.6%,33.3%
sub-0146/RIGHT,59.8%,60.7%,37.1%,55.5%
sub-0148/RIGHT,53.3%,50.4%,23.2%,48.7%
sub-0149/RIGHT,52.4%,25.7%,22.0%,34.2%
sub-0150/RIGHT,49.0%,31.6%,25.8%,33.6%
sub-0151/RIGHT,64.5%,27.3%,41.0%,46.4%
sub-0152/RIGHT,49.1%,30.4%,28.2%,32.1%
sub-0154/RIGHT,55.0%,27.4%,25.8%,49.9%
sub-0156/RIGHT,46.3%,31.7%,28.7%,34.8%
sub-0157/RIGHT,58.3%,29.4%,24.8%,28.6%
sub-0166/RIGHT,48.7%,32.7%,22.9%,31.5%
sub-0169/RIGHT,50.9%,34.8%,35.9%,37.2%
sub-0171/RIGHT,52.4%,34.0%,27.5%,39.2%
sub-0172/RIGHT,50.6%,35.8%,47.3%,31.7%
sub-0174/RIGHT,65.3%,40.3%,33.6%,38.8%
sub-0175/RIGHT,52.6%,27.0%,20.7%,35.3%
sub-0176/RIGHT,99.8%,99.9%,99.6%,99.9%
sub-0179/RIGHT,45.8%,26.6%,24.2%,29.9%
sub-0181/RIGHT,57.3%,31.4%,23.4%,31.0%
sub-0184/RIGHT,63.9%,43.2%,26.6%,57.3%
sub-0191/RIGHT,100.0%,99.9%,100.0%,99.8%
sub-0195/RIGHT,45.7%,28.8%,28.4%,35.9%
sub-0208/RIGHT,57.2%,39.7%,38.6%,42.1%
sub-0210/RIGHT,53.3%,28.5%,21.2%,31.6%
